Diagnosed Diabetes Est. Percent,Unemployment Rate,Household Median Income,Perc_Adults_LessThanHS,Perc_Adults_HSOnly,Perc_Adults_AssociateSomeCollege,Perc_Adults_BAorHigher,Obesity_Prev_Percent,Leisure_Time_Physical_Inactivity_Perc,Median_Age
14.2,6.9,44935,10.579,34.223,33.594,21.604,26.1,23,56.9
15.4,8.5,40009,13.289,37.516,31.349,17.846,27.1,29.5,55
11.9,5.7,57476,9.192,30.7,36.17,23.938,29.1,23.5,38.7
8.6,6,62397,14.322,26.175,25.623,33.881,20.3,18.7,48
12.5,6.6,41667,13.757,36.114,34.22,15.909,35.9,31,40.4
13.5,7.1,34146,29.476,40.68,19.805,10.039,36.8,30,39.2
13.8,7.4,34146,22.236,43.224,28.142,6.397,30.4,32.4,45.9
10.6,6.7,51948,11.092,28.048,32.771,28.089,30.5,24.4,35.9
12.3,6.4,45004,10.054,28.151,36.912,24.883,29,26.1,37.2
12.4,7.3,50863,8.925,33.411,34.342,23.322,24.1,23.3,48.9
11.2,5.6,37479,20.398,35.791,27.078,16.734,33.1,27.2,41.5
16.9,8.2,40865,21.164,35.649,25.705,17.482,35.7,32.7,40.2
8.9,6.7,41721,17.294,39.317,31.043,12.345,31.6,31,41.3
13.7,7.7,39607,25.598,43.972,21.549,8.881,33.1,33.4,43.1
11.2,6,38381,17.471,35.743,30.076,16.711,31.4,29.5,43
13,7.6,34517,24.995,38.539,26.265,10.201,33.6,32.1,40.3
12.7,7.7,37612,31.137,40.378,18.855,9.631,34.7,34.2,33.4
13.2,11.3,39911,37.136,31.66,22.065,9.138,34.7,29.6,33.3
13.5,7.9,46225,12.966,36.641,33.99,16.404,31,27.2,48.4
14.3,8.4,36864,16.714,36.927,29.891,16.469,31.1,27.4,51.9
